Tratamentos,CP,FO,FS,HG,TR,TR1,CO,CPRR,CPINT,FORR,FOINT,FSRR,FSINT,TRRR,TRINT,TR1RR,TR1INT,CORR,COINT
RR,134,66,5,0,205,200,258,134,95,66,15,5,6,205,116,20,11,258,209
RR,232,115,7,0,354,347,100,232,285,115,126,7,10,354,421,133,17,100,198
RR,75,16,15,0,106,91,96,75,194,16,150,15,2,106,346,165,17,96,232
RR,78,22,5,0,105,100,312,78,53,22,15,5,10,105,78,20,15,312,79
RR,141,28,5,1,175,169,337,141,39,28,25,5,2,175,66,30,7,337,50
RR,155,41,1,0,197,196,260,155,153,41,86,1,3,197,242,87,4,260,65
RR,201,42,2,1,246,243,308,201,69,42,45,2,11,246,125,47,13,308,106
RR,200,56,5,0,261,256,280,200,257,56,98,5,1,261,356,103,6,280,406
RR,172,54,6,0,232,226,382,172,195,54,73,6,8,232,276,79,14,382,265
RR,170,38,7,0,215,208,352,170,192,38,86,7,10,215,288,93,17,352,301
RR,191,57,6,0,254,248,162,191,116,57,58,6,8,254,182,64,14,162,117
RR,88,39,4,0,131,127,160,88,177,39,87,4,5,131,269,91,9,160,198
RR,211,121,8,0,340,332,463,211,216,121,69,8,3,340,288,77,11,463,346
RR,56,31,5,0,92,87,97,56,204,31,92,5,11,92,307,97,16,97,243
RR,157,58,3,0,218,215,151,157,73,58,25,3,0,218,98,28,3,151,128
RR,123,60,6,0,189,183,240,123,256,60,196,6,5,189,457,202,11,240,412
RR,224,163,6,0,393,387,398,224,94,163,39,6,2,393,135,45,8,398,328
RR,184,104,3,0,291,288,369,184,171,104,89,3,5,291,265,92,8,369,142
INT,95,15,6,0,116,110,209,,,,,,,,,,,,
INT,285,126,10,0,421,411,198,,,,,,,,,,,,
INT,194,150,2,0,346,344,232,,,,,,,,,,,,
INT,53,15,10,0,78,68,79,,,,,,,,,,,,
INT,39,25,2,0,66,64,50,,,,,,,,,,,,
INT,153,86,3,0,242,239,65,,,,,,,,,,,,
INT,69,45,11,0,125,114,106,,,,,,,,,,,,
INT,257,98,1,0,356,355,406,,,,,,,,,,,,
INT,195,73,8,0,276,268,265,,,,,,,,,,,,
INT,192,86,10,0,288,278,301,,,,,,,,,,,,
INT,116,58,8,0,182,174,117,,,,,,,,,,,,
INT,177,87,5,0,269,264,198,,,,,,,,,,,,
INT,216,69,3,0,288,285,346,,,,,,,,,,,,
INT,204,92,11,0,307,296,243,,,,,,,,,,,,
INT,73,25,0,0,98,98,128,,,,,,,,,,,,
INT,256,196,5,0,457,452,412,,,,,,,,,,,,
INT,94,39,2,0,135,133,328,,,,,,,,,,,,
INT,171,89,5,0,265,260,142,,,,,,,,,,,,
