Tratamentos,CP,FO,FS,HG,TR,TR1,CO
RR,134,66,5,0,205,200,258
RR,232,115,7,0,354,347,100
RR,75,16,15,0,106,91,96
RR,78,22,5,0,105,100,312
RR,141,28,5,1,175,169,337
RR,155,41,1,0,197,196,260
RR,201,42,2,1,246,243,308
RR,200,56,5,0,261,256,280
RR,172,54,6,0,232,226,382
RR,170,38,7,0,215,208,352
RR,191,57,6,0,254,248,162
RR,88,39,4,0,131,127,160
RR,211,121,8,0,340,332,463
RR,56,31,5,0,92,87,97
RR,157,58,3,0,218,215,151
RR,123,60,6,0,189,183,240
RR,224,163,6,0,393,387,398
RR,184,104,3,0,291,288,369
INT,95,15,6,0,116,110,209
INT,285,126,10,0,421,411,198
INT,194,150,2,0,346,344,232
INT,53,15,10,0,78,68,79
INT,39,25,2,0,66,64,50
INT,153,86,3,0,242,239,65
INT,69,45,11,0,125,114,106
INT,257,98,1,0,356,355,406
INT,195,73,8,0,276,268,265
INT,192,86,10,0,288,278,301
INT,116,58,8,0,182,174,117
INT,177,87,5,0,269,264,198
INT,216,69,3,0,288,285,346
INT,204,92,11,0,307,296,243
INT,73,25,0,0,98,98,128
INT,256,196,5,0,457,452,412
INT,94,39,2,0,135,133,328
INT,171,89,5,0,265,260,142
