CPRR,CPINT,FORR,FOINT,FSRR,FSINT,TRRR,TRINT,TR1RR,TR1INT,CORR,COINT
134,95,66,15,5,6,205,116,200,110,258,209
232,285,115,126,7,10,354,421,347,411,100,198
75,194,16,150,15,2,106,346,91,344,96,232
78,53,22,15,5,10,105,78,100,68,312,79
141,39,28,25,5,2,175,66,169,64,337,50
155,153,41,86,1,3,197,242,196,239,260,65
201,69,42,45,2,11,246,125,243,114,308,106
200,257,56,98,5,1,261,356,256,355,280,406
172,195,54,73,6,8,232,276,226,268,382,265
170,192,38,86,7,10,215,288,208,278,352,301
191,116,57,58,6,8,254,182,248,174,162,117
88,177,39,87,4,5,131,269,127,264,160,198
211,216,121,69,8,3,340,288,332,285,463,346
56,204,31,92,5,11,92,307,87,296,97,243
157,73,58,25,3,0,218,98,215,98,151,128
123,256,60,196,6,5,189,457,183,452,240,412
224,94,163,39,6,2,393,135,387,133,398,328
184,171,104,89,3,5,291,265,288,260,369,142
