Tratamentos,SEM,ARM,S,N,H
INT,1,INT10,1,1,0
INT,1,INT12,1,1,0
INT,1,INT13,1,1,0
INT,1,INT14,1,1,0
INT,1,INT15,1,1,0
INT,1,INT6,1,1,0
INT,1,INT7,1,1,0
INT,1,INT16,2,2,0.6931
INT,1,INT4,2,2,0.6931
RR,1,RR10,1,1,0
RR,1,RR11,1,1,0
RR,1,RR14,1,1,0
RR,1,RR16,1,1,0
RR,1,RR18,1,1,0
RR,1,RR3,1,1,0
RR,1,RR6,1,1,0
RR,1,RR7,1,1,0
RR,1,RR17,3,4,1.04
RR,1,RR2,1,11,0
INT,2,INT10,1,1,0
INT,2,INT11,1,1,0
INT,2,INT13,1,1,0
INT,2,INT16,1,1,0
INT,2,INT3,1,1,0
INT,2,INT4,1,1,0
INT,2,INT12,2,2,0.6931
INT,2,INT7,2,2,0.6931
INT,2,INT9,2,2,0.6931
INT,2,INT6,4,4,1.386
RR,2,RR14,1,1,0
RR,2,RR15,1,1,0
RR,2,RR3,1,1,0
RR,2,RR7,1,1,0
RR,2,RR10,2,2,0.6931
RR,2,RR13,2,2,0.6931
RR,2,RR2,2,2,0.6931
RR,2,RR8,2,2,0.6931
RR,2,RR1,3,3,1.099
RR,2,RR11,2,3,0.6365
RR,2,RR12,2,3,0.6365
INT,3,INT11,1,1,0
INT,3,INT17,1,1,0
INT,3,INT9,1,2,0
INT,3,INT1,1,3,0
INT,3,INT10,3,3,1.099
INT,3,INT12,3,3,1.099
INT,3,INT3,3,3,1.099
INT,3,INT5,3,3,1.099
INT,3,INT6,3,3,1.099
INT,3,INT8,3,3,1.099
INT,3,INT13,3,4,1.04
INT,3,INT7,4,4,1.386
INT,3,INT16,4,5,1.332
INT,3,INT2,5,6,1.561
RR,3,RR11,1,1,0
RR,3,RR12,1,1,0
RR,3,RR18,1,1,0
RR,3,RR10,2,2,0.6931
RR,3,RR13,2,2,0.6931
RR,3,RR15,2,2,0.6931
RR,3,RR16,2,2,0.6931
RR,3,RR17,3,3,1.099
RR,3,RR4,1,3,0
RR,3,RR8,3,3,1.099
RR,3,RR9,1,3,0
RR,3,RR1,3,4,1.04
RR,3,RR5,3,4,1.04
RR,3,RR7,6,6,1.792
RR,3,RR2,5,7,1.55
RR,3,RR3,1,17,0
INT,4,INT11,1,1,0
INT,4,INT12,1,1,0
INT,4,INT1,1,3,0
INT,4,INT13,2,3,0.6365
INT,4,INT14,2,4,0.5623
INT,4,INT18,3,5,0.9503
INT,4,INT16,3,6,1.011
INT,4,INT9,2,7,0.4101
INT,4,INT2,2,9,0.687
INT,4,INT6,4,15,1.083
INT,4,INT7,2,16,0.2338
INT,4,INT10,2,22,0.1849
INT,4,INT3,3,28,0.4904
RR,4,RR7,1,1,0
RR,4,RR8,1,1,0
RR,4,RR9,1,1,0
RR,4,RR11,2,2,0.6931
RR,4,RR13,1,2,0
RR,4,RR6,1,2,0
RR,4,RR1,3,4,1.04
RR,4,RR2,3,4,1.04
RR,4,RR17,2,6,0.6931
RR,4,RR18,2,8,0.3768
RR,4,RR10,4,11,0.8856
INT,5,INT1,1,1,0
INT,5,INT15,1,1,0
INT,5,INT3,1,1,0
INT,5,INT13,2,2,0.6931
INT,5,INT4,2,2,0.6931
INT,5,INT5,1,2,0
INT,5,INT17,2,3,0.6365
INT,5,INT2,3,3,1.099
INT,5,INT8,1,3,0
INT,5,INT10,2,4,0.6931
INT,5,INT7,2,5,0.5004
INT,5,INT9,2,5,0.673
RR,5,RR1,1,1,0
RR,5,RR11,1,1,0
RR,5,RR13,1,1,0
RR,5,RR17,1,1,0
RR,5,RR2,1,1,0
RR,5,RR4,1,1,0
RR,5,RR6,1,1,0
RR,5,RR15,1,2,0
RR,5,RR5,1,2,0
RR,5,RR7,1,2,0
RR,5,RR3,1,3,0
RR,5,RR9,2,3,0.6365
RR,5,RR18,3,5,0.9503
RR,5,RR12,3,8,0.7356
INT,6,INT16,1,1,0
INT,6,INT2,1,1,0
INT,6,INT3,1,1,0
INT,6,INT4,1,1,0
INT,6,INT1,3,3,1.099
INT,6,INT13,1,3,0
INT,6,INT9,3,3,1.099
INT,6,INT14,2,4,0.5623
INT,6,INT7,2,4,0.5623
INT,6,INT8,2,5,0.5004
INT,6,INT11,3,6,0.8676
INT,6,INT12,5,9,1.427
RR,6,RR12,1,1,0
RR,6,RR16,1,1,0
RR,6,RR17,1,1,0
RR,6,RR18,1,1,0
RR,6,RR6,1,1,0
RR,6,RR1,1,2,0
