Tratamentos,REP,POS, S,  N,H
RR,RR1,RR1,9,16,1.835
RR,RR2,RR2,9,26,1.57
RR,RR3,RR3,3,22,0.3676
RR,RR4,RR1,6,11,1.72
RR,RR5,RR2,5,9,1.523
RR,RR6,RR3,4,7,1.277
RR,RR7,RR1,10,13,2.138
RR,RR8,RR2,6,7,1.748
RR,RR9,RR3,3,10,0.9433
RR,RR10,RR1,9,17,1.773
RR,RR11,RR2,7,12,1.792
RR,RR12,RR3,8,15,1.807
RR,RR13,RR1,8,15,1.876
RR,RR14,RR2,3,3,1.099
RR,RR15,RR3,5,9,1.427
RR,RR16,RR1,5,6,1.561
RR,RR17,RR2,10,18,2.106
RR,RR18,RR3,6,17,1.344
INT,INT1,INT3,7,17,1.397
INT,INT2,INT2,9,21,1.803
INT,INT3,INT1,7,36,1.103
INT,INT4,INT3,6,7,1.748
INT,INT5,INT2,4,6,1.242
INT,INT6,INT1,12,35,1.84
INT,INT7,INT3,9,34,1.401
INT,INT8,INT2,5,13,1.327
INT,INT9,INT1,8,23,1.641
INT,INT10,INT3,9,36,1.318
INT,INT11,INT2,12,18,2.134
INT,INT12,INT1,10,20,1.842
INT,INT13,INT3,8,17,1.661
INT,INT14,INT2,5,13,1.264
INT,INT15,INT1,5,11,1.16
INT,INT16,INT3,8,18,1.796
INT,INT17,INT2,4,7,1.352
INT,INT18,INT1,4,10,1.28
