Tratamentos,SEM,ARM,S,N,H
INT,1,INT1,1,24,0
INT,1,INT10,4,31,0.8488
INT,1,INT11,4,8,1.074
INT,1,INT12,1,1,0
INT,1,INT13,3,10,0.8018
INT,1,INT14,4,27,0.8201
INT,1,INT15,3,19,0.7659
INT,1,INT16,5,26,0.8931
INT,1,INT17,3,27,0.8037
INT,1,INT18,3,21,0.7732
INT,1,INT2,2,4,0.5623
INT,1,INT3,1,1,0
INT,1,INT4,6,21,1.234
INT,1,INT5,2,13,0.4293
INT,1,INT6,4,11,1.162
INT,1,INT7,3,6,0.8676
INT,1,INT9,1,7,0
INT,2,INT1,4,17,1.006
INT,2,INT10,3,3,1.099
INT,2,INT11,4,36,0.8529
INT,2,INT12,3,30,0.2911
INT,2,INT13,2,8,0.3768
INT,2,INT15,2,18,0.2146
INT,2,INT16,3,19,0.5367
INT,2,INT17,1,6,0
INT,2,INT18,2,44,0.5623
INT,2,INT3,2,9,0.3488
INT,2,INT4,2,15,0.2449
INT,2,INT6,7,32,1.039
INT,2,INT7,5,31,1.217
INT,2,INT9,5,57,0.7068
INT,3,INT1,4,12,1.199
INT,3,INT10,7,53,1.268
INT,3,INT11,4,34,0.9626
INT,3,INT12,6,25,1.412
INT,3,INT13,5,50,0.9273
INT,3,INT16,7,58,1.056
INT,3,INT17,5,31,1.107
INT,3,INT2,8,32,1.492
INT,3,INT3,5,9,1.427
INT,3,INT4,2,7,0.6829
INT,3,INT5,6,16,1.429
INT,3,INT6,6,17,1.4
INT,3,INT7,8,45,1.445
INT,3,INT8,6,34,1.304
INT,3,INT9,3,17,0.8739
INT,4,INT1,5,63,1.171
INT,4,INT10,6,134,1.516
INT,4,INT11,4,97,0.9207
INT,4,INT12,3,174,0.6655
INT,4,INT13,6,188,1.174
INT,4,INT14,6,259,1.245
INT,4,INT15,3,20,1.067
INT,4,INT16,7,344,1.135
INT,4,INT17,2,4,0.5623
INT,4,INT18,7,180,1.083
INT,4,INT2,6,404,1.12
INT,4,INT3,7,316,1.286
INT,4,INT4,4,72,0.9477
INT,4,INT5,4,44,1.144
INT,4,INT6,8,246,1.225
INT,4,INT7,6,110,1.523
INT,4,INT8,4,320,1.043
INT,4,INT9,5,115,0.9275
INT,5,INT1,4,18,1.035
INT,5,INT10,6,101,1.073
INT,5,INT13,4,65,0.7386
INT,5,INT14,3,58,0.8035
INT,5,INT15,4,48,1.049
INT,5,INT17,6,77,1.219
INT,5,INT2,5,41,0.9376
INT,5,INT3,4,72,0.8615
INT,5,INT4,4,8,1.213
INT,5,INT5,4,7,1.352
INT,5,INT7,4,13,1.091
INT,5,INT8,3,59,0.3472
INT,5,INT9,5,55,1.074
INT,6,INT1,7,39,1.071
INT,6,INT10,4,141,0.6746
INT,6,INT11,5,40,0.743
INT,6,INT12,9,95,1.315
INT,6,INT13,4,144,0.7353
INT,6,INT14,4,120,0.504
INT,6,INT15,1,47,0
INT,6,INT16,5,221,0.5464
INT,6,INT17,3,285,0.4572
INT,6,INT18,3,46,0.9406
INT,6,INT2,5,157,0.7211
INT,6,INT3,4,141,0.491
INT,6,INT4,3,19,0.8092
INT,6,INT5,3,39,0.2378
INT,6,INT7,6,38,0.8292
INT,6,INT8,5,248,0.5026
INT,6,INT9,6,250,0.5039
INT,7,INT1,5,30,0.9556
INT,7,INT10,3,112,0.7893
INT,7,INT11,5,54,1.056
INT,7,INT12,4,54,1.017
INT,7,INT13,6,105,0.9028
INT,7,INT14,6,80,0.9221
INT,7,INT15,5,50,0.9358
INT,7,INT16,6,118,1.132
INT,7,INT18,7,106,0.9411
INT,7,INT3,3,8,0.9743
INT,7,INT4,4,22,0.8789
INT,7,INT5,3,3,1.099
INT,7,INT7,2,7,0.4101
INT,7,INT8,4,95,0.8646
INT,7,INT9,4,56,0.8296
INT,8,INT1,5,125,0.8001
INT,8,INT10,6,37,0.7783
INT,8,INT11,2,34,0.1327
INT,8,INT12,4,127,0.6771
INT,8,INT13,5,102,0.7442
INT,8,INT14,2,5,0.5004
INT,8,INT15,2,29,0.15
INT,8,INT16,2,101,0.1971
INT,8,INT17,5,47,1.013
INT,8,INT18,2,13,0.4293
INT,8,INT2,2,2,0.6931
INT,8,INT3,3,9,0.6837
INT,8,INT6,3,25,1.088
INT,8,INT7,4,35,0.8908
INT,8,INT9,3,7,0.7963
INT,9,INT1,5,71,0.539
INT,9,INT10,5,31,1.041
INT,9,INT11,7,14,1.567
INT,9,INT12,2,17,0.6914
INT,9,INT14,3,15,0.4851
INT,9,INT16,2,46,0.3438
INT,9,INT17,1,15,0
INT,9,INT18,6,24,1.221
INT,9,INT3,3,58,0.4857
INT,9,INT6,4,18,0.7608
INT,9,INT8,3,19,0.5367
RR,1,RR1,3,50,0.9594
RR,1,RR10,5,37,1.001
RR,1,RR11,5,41,1.106
RR,1,RR12,3,26,1.07
RR,1,RR13,4,36,1.126
RR,1,RR14,5,36,1.131
RR,1,RR15,3,31,0.7902
RR,1,RR16,5,56,1.232
RR,1,RR17,5,46,0.887
RR,1,RR18,5,30,1.308
RR,1,RR2,5,59,1.074
RR,1,RR3,2,9,0.3488
RR,1,RR6,4,28,1.027
RR,1,RR7,2,14,0.2573
RR,1,RR8,3,26,0.9012
RR,1,RR9,3,33,0.7908
RR,2,RR1,5,32,0.8761
RR,2,RR10,5,13,1.311
RR,2,RR11,4,24,0.6238
RR,2,RR12,6,23,1.647
RR,2,RR13,6,28,1.265
RR,2,RR14,5,24,1.041
RR,2,RR15,4,6,1.242
RR,2,RR16,3,22,0.4851
RR,2,RR17,2,12,0.2868
RR,2,RR2,5,55,0.7592
RR,2,RR3,3,9,0.965
RR,2,RR5,3,32,0.7431
RR,2,RR6,3,12,0.8676
RR,2,RR7,4,9,1.149
RR,2,RR8,5,37,1.062
RR,2,RR9,4,38,1.114
RR,3,RR1,6,42,1.146
RR,3,RR10,5,13,1.044
RR,3,RR11,4,37,1.043
RR,3,RR12,5,47,1.156
RR,3,RR13,5,72,1.02
RR,3,RR14,3,11,0.9949
RR,3,RR15,6,88,1.162
RR,3,RR16,6,29,1.237
RR,3,RR17,7,79,1.113
RR,3,RR18,4,20,0.8711
RR,3,RR2,9,83,1.419
RR,3,RR3,4,78,1.019
RR,3,RR4,5,57,1.354
RR,3,RR5,7,55,1.247
RR,3,RR6,4,77,0.9284
RR,3,RR7,9,86,0.9475
RR,3,RR8,7,96,1.118
RR,3,RR9,5,67,1.103
RR,4,RR1,7,80,1.237
RR,4,RR10,8,222,1.176
RR,4,RR11,6,150,1.186
RR,4,RR12,2,12,0.6365
RR,4,RR13,5,187,1.188
RR,4,RR14,3,19,1.017
RR,4,RR15,3,31,1.068
RR,4,RR17,5,265,1.188
RR,4,RR18,6,133,1.206
RR,4,RR2,7,172,1.124
RR,4,RR3,3,24,1.011
RR,4,RR4,2,9,0.687
RR,4,RR6,4,57,1.122
RR,4,RR7,5,100,1.044
RR,4,RR8,1,1,0
RR,4,RR9,5,93,1.158
RR,5,RR1,4,29,1.096
RR,5,RR11,4,102,0.8683
RR,5,RR12,5,41,1.019
RR,5,RR13,4,110,1.096
RR,5,RR15,4,138,1.023
RR,5,RR16,3,74,0.9434
RR,5,RR17,4,55,1.084
RR,5,RR18,7,234,1.177
RR,5,RR2,4,74,1.024
RR,5,RR3,3,75,0.6213
RR,5,RR4,5,59,1.109
RR,5,RR5,5,103,1.003
RR,5,RR6,3,55,0.611
RR,5,RR7,4,65,0.861
RR,5,RR8,4,247,1.007
RR,5,RR9,5,58,0.7688
RR,6,RR1,5,85,0.9381
RR,6,RR10,1,148,0
RR,6,RR12,4,62,0.7942
RR,6,RR13,6,188,0.6174
RR,6,RR14,4,36,1.051
RR,6,RR15,6,65,0.8318
RR,6,RR16,4,202,0.6438
RR,6,RR17,4,107,0.8063
RR,6,RR18,3,192,0.2056
RR,6,RR2,3,5,0.9503
